0|IDLE |IDL |00|IDL|0|1||(Note 3) WAIT FOR DMA OR INTERRUPT;  M(R(0)) -> BUS||98
1|LOAD VIA N |LDN|01  |LDN 1|0|1||M(R(1)) -> D ||3
2|LOAD VIA N |LDN|02 |LDN 2|0|1||M(R(2)) -> D ||
3|LOAD VIA N |LDN|03 |LDN 3|0|1||M(R(3)) -> D ||
4|LOAD VIA N |LDN|04|LDN 4|0|1||M(R(4)) -> D ||
5|LOAD VIA N |LDN|05|LDN 5|0|1||M(R(5)) -> D ||
6|LOAD VIA N |LDN|06|LDN 6|0|1||M(R(6)) -> D ||
7|LOAD VIA N |LDN|07|LDN 7|0|1||M(R(7)) -> D ||
8|LOAD VIA N |LDN|08|LDN 8|0|1||M(R(8)) -> D ||
9|LOAD VIA N |LDN|09|LDN 9|0|1||M(R(9)) -> D||
10|LOAD VIA N |LDN|0A|LDN A|0|1||M(R(A)) -> D||
11|LOAD VIA N |LDN|0B|LDN B|0|1||M(R(B)) -> D ||
12|LOAD VIA N |LDN|0C|LDN C|0|1||M(R(C)) -> D ||
13|LOAD VIA N |LDN|0D|LDN D|0|1||M(R(D)) -> D ||
14|LOAD VIA N |LDN|0E|LDN E|0|1||M(R(E)) -> D ||
15|LOAD VIA N |LDN|0F|LDN F|0|1||M(R(F)) -> D ||
16|INCREMENT REG N  |INC |10 |INC 0|0|1||R(0) + 1 -> R(0)||12
17|INCREMENT REG N  |INC |11 |INC 1|0|1||R(1) + 1 -> R(1)||
18|INCREMENT REG N  |INC |12 |INC 2|0|1||R(2) + 1 -> R(2)||
19|INCREMENT REG N  |INC |13 |INC 3|0|1||R(3) + 1 -> R(3)||
20|INCREMENT REG N  |INC |14 |INC 4|0|1||R(4) + 1 -> R(4)||
21|INCREMENT REG N  |INC |15 |INC 5|0|1||R(5) + 1 -> R(5)||
22|INCREMENT REG N  |INC |16|INC 6|0|1||R(6) + 1 -> R(6)||
23|INCREMENT REG N  |INC |17 |INC 7|0|1||R(7) + 1 -> R(7)||
24|INCREMENT REG N  |INC |18 |INC 8|0|1||R(8) + 1 -> R(8)||
25|INCREMENT REG N  |INC |19 |INC 9|0|1||R(9) + 1 -> R(9)||
